iteration,find_best_us,split_us,update_info_us,total_us,active_faces,n_vertices
471,0.131,1601.99,206.454,1808.68,1219,2500
472,0.16,803.643,278.741,1082.64,1221,2504
473,0.214,885.892,282.659,1168.86,1222,2507
474,0.353,0.063,386.898,387.42,1222,2507
475,0.244,1846.34,68.298,1914.98,1226,2515
476,137.447,577.394,228.106,943.072,1227,2518
477,0.293,763.773,324.008,1088.18,1229,2522
478,134.417,608.86,219.232,962.645,1230,2525
479,0.303,3406.77,276.437,3683.61,1236,2537
480,0.277,356.876,250.168,607.429,1237,2540
481,0.213,1730.63,65.11,1796.05,1241,2548
482,0.256,2245.45,77.359,2323.17,1245,2556
483,0.19,0.064,578.209,578.563,1245,2556
484,0.069,0.139,573.26,573.568,1245,2556
485,0.141,0.068,331.761,332.072,1245,2556
486,0.053,0.058,505.947,506.161,1245,2556
487,0.158,0.13,312.271,312.652,1245,2556
488,0.146,0.084,288.326,288.65,1245,2556
489,0.183,777.651,298.264,1076.19,1247,2560
490,0.175,0.206,529.286,529.761,1247,2560
491,0.176,783.393,293.653,1077.32,1249,2564
492,0.161,709.857,331.586,1041.71,1251,2568
493,0.157,0.041,513.294,513.584,1251,2568
494,125.835,761.453,288.667,1176.07,1253,2572
495,229.731,1091.28,351.229,1672.36,1255,2576
496,0.238,1499.02,368.209,1867.57,1257,2580
497,0.449,0.126,514.835,515.507,1257,2580
498,0.166,1619.97,60.696,1680.92,1260,2587
499,0.185,1787.84,238.321,2026.44,1264,2597
500,0.646,2839.18,250.93,3090.86,1268,2605
501,147.948,2008.04,74.927,2231.04,1272,2613
502,0.321,0.113,588.866,589.405,1272,2613
503,0.224,0.119,479.645,480.097,1272,2613
504,0.211,964.255,332.566,1297.14,1274,2617
505,0.313,0.182,557.537,558.135,1274,2617
506,0.199,0.076,380.952,381.33,1274,2617
507,0.175,914.352,314.823,1229.45,1276,2621
508,0.21,2427.56,69.854,2497.72,1280,2629
509,0.188,711.574,319.254,1031.11,1282,2633
510,0.106,1753.68,65.238,1819.12,1286,2641
511,0.256,0.082,380.187,380.619,1286,2641
512,0.848,1188.54,382.581,1572.07,1288,2645
513,0.435,2406,74.894,2481.43,1292,2653
514,170.41,2102.01,278.187,2550.73,1296,2661
515,0.187,3258.49,316.346,3575.11,1302,2673
516,0.315,0.152,566.777,567.344,1302,2673
517,0.179,0.082,473.417,473.775,1302,2673
518,0.3,748.53,320.409,1069.34,1304,2677
519,0.146,0.075,359.857,360.166,1304,2677
520,0.135,0.108,349.867,350.211,1304,2677
521,0.134,3022.9,280.05,3303.18,1310,2689
522,0.24,919.027,313.812,1233.18,1312,2693
523,0.196,2343.84,84.116,2428.25,1316,2701
524,0.254,5193,292.476,5485.84,1326,2721
525,473.465,1017.97,269.227,1760.77,1328,2725
526,0.766,0.356,811.254,812.481,1328,2725
527,0.212,0.175,524.4,524.885,1328,2725
528,0.196,0.113,359.023,359.421,1328,2725
529,0.09,416.201,278.977,695.376,1329,2728
530,0.208,2347.85,245.726,2593.87,1334,2739
531,0.201,0.126,540.207,540.629,1334,2739
532,0.156,3517.82,86.278,3604.36,1340,2751
533,0.231,0.198,604.4,604.933,1340,2751
534,0.132,513.037,277.185,790.454,1341,2754
535,0.203,0.123,601.262,601.686,1341,2754
536,0.269,2011.73,258.171,2270.27,1345,2762
537,0.206,0.044,537.057,537.408,1345,2762
538,0.076,810.903,351.638,1162.72,1347,2766
539,0.236,903.329,330.674,1234.43,1349,2770
540,0.198,0.054,540.085,540.431,1349,2770
541,0.155,0.22,661.57,662.085,1349,2770
542,0.13,1455.59,345.041,1800.87,1351,2774
543,0.264,0.138,532.973,533.464,1351,2774
544,0.233,802.359,375.34,1178.1,1353,2778
545,0.184,2773.42,264.873,3038.58,1359,2790
546,0.233,0.141,350.176,350.645,1359,2790
547,161.545,888.09,331.722,1381.47,1361,2794
548,0.23,0.172,337.405,337.896,1361,2794
549,0.102,1386.42,363.027,1749.64,1363,2798
550,0.845,0.151,803.09,804.185,1363,2798
551,0.185,494.776,321.684,816.762,1364,2801
552,0.154,915.651,342.217,1258.12,1366,2805
553,0.183,0.155,645.305,645.743,1366,2805
554,164.686,1708.39,397.242,2270.46,1368,2809
555,0.382,990.576,369.257,1360.31,1370,2813
556,0.233,2092.76,75.588,2168.68,1374,2821
557,0.364,836.408,396.465,1233.34,1376,2825
558,0.207,2005.44,66.279,2072.02,1380,2833
559,156.147,924.405,330.726,1411.51,1382,2837
560,141.692,1917.12,261.82,2320.74,1386,2845
561,0.188,421.514,288.037,709.831,1387,2848
562,0.196,0.148,528.479,528.916,1387,2848
563,0.143,0.105,383.093,383.431,1387,2848
564,0.135,0.074,468.245,468.541,1387,2848
565,1.151,2585.32,288.406,2874.97,1391,2856
566,0.241,1968.16,290.466,2258.96,1395,2864
567,0.161,3067.5,283.476,3351.23,1401,2876
568,551.906,1193.73,376.414,2122.21,1403,2880
569,0.314,5332.97,326.048,5659.43,1412,2899
